compounds,name,maxFlux
cpd00001,H2O,100
cpd00009,Phosphate,100
cpd00027,D-Glucose,5
cpd00067,H+,100
cpd00099,Cl-,100
cpd00205,K+,100
cpd00971,Na+,100
cpd00013,NH3,100
cpd00029,Acetate,1
cpd00051,L-Arginine,1
cpd00084,L-Cysteine,1
cpd01415,Thioglycolate,100
cpd00065,L-Tryptophan,1
cpd01401,Vitamin K1,100
cpd00028,Heme,100
cpd00033,Glycine,1
cpd00119,L-Histidine,1
cpd00322,L-Isoleucine,1
cpd00060,L-Methionine,1
cpd00156,L-Valine,1
cpd00066,L-Phenylalanine,1
cpd00129,L-Proline,1
cpd00054,L-Serine,1
cpd00161,L-Threonine,1
cpd00069,L-Tyrosine,1
cpd00747,L-Hydroxyproline,1
cpd00059,L-Ascorbate,100
cpd00305,Thiamin,100
cpd00042,GSH,100
cpd04100,Ag,100
cpd09693,Ba2+,100
cpd01012,Cd2+,100
cpd20624,Chromium (III),100
cpd11160,Germanium,100
cpd01079,Selenium,100
cpd00966,Hbr,100
cpd00552,F-,100
cpd00534,I-,100
cpd24344,Al+++,100
cpd00244,Ni2+,100
cpd00030,Mn2+,100
cpd00149,Co2+,100
cpd46700,silicic acid,100
cpd12858,V,100
cpd26369,MOLYBDENUM(VI) ION,100
cpd17321,Rb+,100
cpd00063,Ca2+,100
cpd00048,Sulfate,100
cpd00254,Mg,100
cpd00242,H2CO3,100
cpd10515,Fe+2,100
cpd10516,Fe+3,100
cpd00034,Zn2+,100
cpd00058,Cu2+,100
